condition,condition_name,scene_group,horizon,trajectory_count,position_rmse,position_rmse_ci95_low,position_rmse_ci95_high,velocity_rmse,velocity_rmse_ci95_low,velocity_rmse_ci95_high,penetration_rate,penetration_rate_ci95_low,penetration_rate_ci95_high,density_relative_error,density_relative_error_ci95_low,density_relative_error_ci95_high,momentum_error_per_particle,momentum_error_per_particle_ci95_low,momentum_error_per_particle_ci95_high,horizontal_momentum_error_per_particle,horizontal_momentum_error_per_particle_ci95_low,horizontal_momentum_error_per_particle_ci95_high,surface_height_rmse,surface_height_rmse_ci95_low,surface_height_rmse_ci95_high,energy_excess_per_particle,energy_excess_per_particle_ci95_low,energy_excess_per_particle_ci95_high
A,SWE-only,complex,1,33,0.02510125920966719,0.02000062068938419,0.03318291875872422,0.025101259096779606,0.020079561406887617,0.03374562688933855,1.73767519961024e-05,0.0,4.4318854466646186e-05,0.3699699414498878,0.30123384107242934,0.49920494581262265,0.009440375974835742,0.002283788504538472,0.023227601007932787,2.774639536558728e-05,2.27239421257874e-05,3.2563976302905456e-05,0.05022630168858803,0.03588362977219124,0.07530097062558387,0.006735332084424568,0.0024006695458383275,0.011739098845106181
A,SWE-only,complex,8,33,0.024636958753972343,0.019163752845347378,0.0342359342640548,0.0030784223715520716,0.0027778183471651352,0.00336575921797758,0.0,0.0,0.0,0.48536586580854474,0.4127371472842765,0.6056176024855987,0.0003752991723365884,0.00031155237946663735,0.00043802968408051645,0.00024557359839408576,0.00020401118127858465,0.000291224937411078,0.05582016853220535,0.040911434369274614,0.08401648628553657,0.0,0.0,0.0
A,SWE-only,complex,16,33,0.02427063656575752,0.018953536064928455,0.03370898278133774,0.00238621474250756,0.0017464469245169313,0.0034549421741041546,0.0,0.0,0.0,0.5579151484099302,0.48821189489328504,0.6695508371925712,0.0007336568894309246,0.00045660613972303867,0.001179985274553253,0.00048787251315926284,0.00039875183958263896,0.0005749795000266397,0.057568352105039536,0.043147874914222596,0.08451425360910819,0.0,0.0,0.0
A,SWE-only,complex,32,33,0.038250480383408794,0.023985677335947527,0.06498671021651138,0.0033150132512673736,0.001887796054176182,0.005755876504752615,0.009284599476547901,0.0,0.02779457969550441,0.653001788890723,0.5644119901864818,0.8045746441140319,0.00218987238291778,0.000991944804903169,0.00440711138477182,0.0011322803206205594,0.0008490873039673632,0.0015273328914411123,0.06898695580435521,0.04669244095231548,0.11091583997406292,0.08989581194790927,0.0022244797511534256,0.2608981839635155
A,SWE-only,complex,100,33,0.5549301842622685,0.24683641545813192,1.103595917079258,0.031137976802490426,0.01943134263490334,0.046005542061572084,0.09277303173980384,0.051302764794483466,0.15669751373522547,1.4103370760426377,1.0482042891058054,1.9390380312095985,0.007876245151926538,0.00454327914633199,0.012433621974824656,0.0018608496342715102,0.0015508501194937817,0.002202962548714518,0.5448789772662249,0.15194856131054235,1.2946565497073936,4.167868198770465,1.193228709336483,9.46455553164987
A,SWE-only,quiet,1,34,0.02307360024903627,0.0183749696075478,0.03119142620810581,0.02307360024903627,0.01837211265365648,0.031313161370481415,0.0,0.0,0.0,0.36126333387459025,0.30220692992648657,0.4696224180214545,0.009172018248885734,0.0020137559183293725,0.02294049052684653,1.7973235484907275e-05,1.4501387230204862e-05,2.1427122885430594e-05,0.04704339007901795,0.03446209598469603,0.06927608422359778,0.017865328227772433,0.01184938883080202,0.02476161411579917
A,SWE-only,quiet,8,34,0.022108948762145114,0.017450510450940142,0.03064358195235186,0.003114320005646304,0.0028736791526385143,0.0033549900325049423,0.0,0.0,0.0,0.4468087957185857,0.3794533508227152,0.5658508495372884,0.0004226011733408086,0.0003706423950140614,0.000472848368131321,0.00013970007622072657,0.00011077150565651049,0.00017052378019303326,0.04808777932296781,0.03569741394398186,0.07018271254183833,0.0,0.0,0.0
A,SWE-only,quiet,16,34,0.021260173991322517,0.017133156343034524,0.02895183506531312,0.0035029127029702067,0.0015911651010837352,0.007163786217792863,0.0001474520289399182,0.0,0.00044235608681975465,0.5032899020349278,0.4462890261893763,0.5925463045125499,0.0013301904054969782,0.0002519553168440325,0.003440233934270509,0.00031997988630524455,0.00021465092952305842,0.00048395907894754425,0.04972331938059891,0.037971144342137615,0.07090255049988628,0.0,0.0,0.0
A,SWE-only,quiet,32,34,0.06012745963080841,0.018147491208305035,0.14316683714141082,0.00440397991298917,0.0009560575234097675,0.011168929840770194,0.013948961937716262,0.0,0.04184688581314879,0.6353135240428588,0.5329060868524453,0.8154660915188929,0.0028468479923664265,0.0003943908957647663,0.007624896516860162,0.0006236711269593798,0.0003784559256821333,0.000997337342462688,0.07529158462934635,0.04031059973982765,0.14311148678774344,0.31048499836641197,0.0,0.931454995099236
A,SWE-only,quiet,100,34,0.6248859528671292,0.06374090788748993,1.7171756436705916,0.008270159492145894,0.0031036165440823157,0.016095441247307458,0.03851976730070785,0.003161451212928871,0.09990125346115668,0.9873823505990645,0.7318723257850198,1.35787464599399,0.005729678579561604,0.0011939807682317812,0.014213449577886526,0.0011794847399441471,0.0009122134545631364,0.001520624053046049,0.6603138667038259,0.06551496189306763,1.8365982468733018,6.9192882250337036,0.13576721093233896,20.335694060869077
A,SWE-only,violent,1,33,0.07293908506857627,0.05114034587573824,0.10268759510451642,0.07293908523790764,0.050509501338908164,0.10145738622399439,0.038304537659321396,0.013383377945688984,0.07200520601037613,0.2836314272699934,0.25910187119787387,0.3150750302568529,0.02415298511517573,0.010833036087856409,0.04552611985996147,0.00010890061339247923,7.256999662620894e-05,0.00015223141834309046,0.17773757310527744,0.13228472083750548,0.23642147372504974,0.20791477145570697,0.05929687221844991,0.4365081436706309
A,SWE-only,violent,8,33,0.10563609353972203,0.06288552876053886,0.1581632847700155,0.025598465987114294,0.012563632518250607,0.04132686616962238,0.04904506895903518,0.017451258680757288,0.09273730432385864,0.41747520141529315,0.37884395654228603,0.45933555675049614,0.007571679761564486,0.0030017410728870536,0.013219929459288928,0.0007338197542456769,0.0004764050117955776,0.0010635921644389975,0.20562165027314966,0.14679033604140085,0.2762966067671324,0.4274951327930797,0.13173701889587172,0.8256668605587688
A,SWE-only,violent,16,33,0.2714040476377263,0.12789931345702799,0.44805212252011356,0.06428010075240198,0.02842384707958748,0.1111203629327726,0.0810660611185291,0.034553970063814825,0.14171420901441042,0.5472596477378499,0.47698899796514804,0.6254370313024882,0.021477115550431226,0.0089541232534402,0.036831991879047225,0.0012596876322552844,0.000861348935050597,0.0017244389659467603,0.29721202836795285,0.19332664608390945,0.4346087170736582,1.5707934119484641,0.6149530136223995,2.8000161270300534
A,SWE-only,violent,32,33,1.2420076276316787,0.5458714399543224,2.106621579856922,0.21620628550281804,0.08995519746518271,0.3791130094023449,0.1557237433491428,0.08219601297243949,0.23472746727016147,0.8340164296554796,0.7076614508800434,0.9818393065848133,0.06851767411342624,0.023131045001333186,0.1261376010522133,0.0018723376349292018,0.0014249184100525313,0.002375746288761905,0.6795401837338101,0.3477362975788613,1.047876551244972,9.122307625683872,3.6684761292103567,15.958374024792148
A,SWE-only,violent,100,33,6.901990763165734,3.0646765919684458,12.287164093610457,0.4079784488192562,0.20023422104193633,0.6564099243736232,0.39730453463077536,0.31987653963784,0.48219204167818863,2.196080348708413,1.8220140879804436,2.643415208928513,0.06381597490557893,0.032264582389281274,0.10340086116074498,0.0027886300019665873,0.0024227216576092002,0.0031500302370687044,2.602012343027375,1.1912110108091976,4.510139507913228,72.32072292313431,25.731815297946785,139.19907928280756
B,GNN-only,complex,1,33,2.7395270604536176e-05,2.2959644062129057e-05,3.4375265447510397e-05,2.7395248473498434e-05,2.2905746985116186e-05,3.428332739586588e-05,0.02648707222220804,0.02143156600001326,0.03177758051936204,0.00033617139331798887,0.00031278884222653384,0.0003568461191841352,1.617540399847988e-05,8.573974104413565e-06,2.9062846153644358e-05,1.5414923061805233e-05,8.008692181895392e-06,2.826559528633273e-05,0.004345856725608014,0.0004744042751884659,0.011866687605497231,1.1046727498372396e-05,0.0,3.238157792524858e-05
B,GNN-only,complex,8,33,0.0008620479837356305,0.0006771962267080337,0.001165632832359706,0.00020103208644837704,0.00015768504725367,0.00027332056114656456,0.027515581852710892,0.022748772857468888,0.0324789833430926,0.009063784258835243,0.008357234874909575,0.00976777632163386,0.00018646493040388592,0.00011001734520422443,0.00032011740643638674,0.00017586264623263781,9.961578094093552e-05,0.00031343748322742044,0.004947164265269583,0.004377981425425264,0.00549967865244429,0.00045088204470547765,0.0,0.0013244693929498846
B,GNN-only,complex,16,33,0.0033276318572461605,0.0026060610074747467,0.00443782528163865,0.00040544465159517574,0.00032318493844782505,0.000527685636321125,0.03762746878875228,0.032631113540105686,0.042716423627744644,0.035023604265668175,0.032134028574959804,0.03803823780353096,0.0004112850398417901,0.00027221497321354974,0.0006251744886950208,0.0003815918420459087,0.00024579695275888573,0.0006034947510946067,0.011854695424324635,0.009594609961619205,0.014797484030537872,0.0015909418915257309,0.0,0.004639376293529163
