condition,condition_name,particle_count,splash_fraction,measured_frames,mean_frame_ms,p95_frame_ms,max_frame_ms,mean_fps,p95_effective_fps,passes_30fps_p95,passes_60fps_p95,passes_120fps_p95,passes_144fps_p95
A,SWE-only,5000,0.05,300,0.6190763333333333,0.7644000000000002,1.1521,1615.309689865924,1308.2155939298793,True,True,True,True
A,SWE-only,5000,0.25,300,0.6666316666666667,0.91321,1.2789,1500.078754134592,1095.0383810952574,True,True,True,True
A,SWE-only,5000,0.5,300,0.632848,0.8174750000000001,0.9938,1580.1582686521883,1223.2789993577785,True,True,True,True
A,SWE-only,5000,1.0,300,0.659325,0.93162,1.4399,1516.702688355515,1073.399025353685,True,True,True,True
B,GNN-only,5000,0.05,300,33.72504179214478,34.384576957397464,35.489387176513674,29.65155702884613,29.082806551291917,False,False,False,False
B,GNN-only,5000,0.25,300,33.69135842070516,34.39439394287109,36.96604867248535,29.68120155658212,29.07450562033437,False,False,False,False
B,GNN-only,5000,0.5,300,33.84890823272705,34.45696515487671,41.24593222351074,29.543050343737324,29.021708542966948,False,False,False,False
B,GNN-only,5000,1.0,300,33.89948440486654,34.71909773086548,35.39802786560059,29.498973732368686,28.80259181133599,False,False,False,False
C,Reversed,5000,0.05,300,31.284492722564696,31.99981714401245,32.46321613769531,31.96471839476962,31.250178571320742,True,False,False,False
C,Reversed,5000,0.25,300,22.41327937336222,23.044678347473145,23.561819329833984,44.61640723527866,43.3939664907343,True,False,False,False
C,Reversed,5000,0.5,300,13.126223792099,13.716158697280884,14.331372117614746,76.1833727535504,72.90670967508139,True,True,False,False
C,Reversed,5000,1.0,300,0.22638733333333336,0.30502,0.6486999999999999,4417.208265480106,3278.47354271851,True,True,True,True
D,Ours,5000,0.05,300,5.444399745215098,7.342203791427614,7.842203972625732,183.67497737080507,136.1988891084104,True,True,True,False
D,Ours,5000,0.25,300,6.337101433737437,8.583661255493164,9.744920234680176,157.80085113932432,116.50040352653062,True,True,False,False
D,Ours,5000,0.5,300,13.24709320912679,13.86024625076294,14.49216429748535,75.48825876087552,72.14879028177114,True,True,False,False
D,Ours,5000,1.0,300,34.001939490580234,34.80852635269165,35.59024842834473,29.410087041565266,28.728593387369088,False,False,False,False
E,Baseline-GNS,5000,0.05,300,33.81800337282308,34.428879173736576,35.76024476013183,29.570048502733986,29.045383526828,False,False,False,False
E,Baseline-GNS,5000,0.25,300,33.845063163330074,34.50994593948364,35.1890161895752,29.546406670130388,28.977153477829024,False,False,False,False
E,Baseline-GNS,5000,0.5,300,33.796208899648036,34.41085449737549,35.939428564453124,29.589117612846046,29.060597727274395,False,False,False,False
E,Baseline-GNS,5000,1.0,300,33.973221474823006,34.72082948013306,35.6829725402832,29.43494777912314,28.801155242336325,False,False,False,False
F,Simple-3D,5000,0.05,300,0.22780033333333335,0.284585,0.4278,4389.809204259285,3513.8886448688445,True,True,True,True
F,Simple-3D,5000,0.25,300,0.21333733333333332,0.25926000000000005,0.3464,4687.412111022919,3857.13183676618,True,True,True,True
F,Simple-3D,5000,0.5,300,0.19446433333333332,0.23979000000000006,0.4291,5142.3311558417745,4170.3156928979515,True,True,True,True
F,Simple-3D,5000,1.0,300,0.14441333333333334,0.18324000000000001,0.3457,6924.568368571692,5457.323728443571,True,True,True,True
G,Optimized-Ours,5000,0.05,300,2.5349375983428954,7.1558227245712285,8.198204230499268,394.48702826203936,139.7463350463198,True,True,True,False
G,Optimized-Ours,5000,0.25,300,3.974277449923197,8.33823387817383,9.785563819885255,251.61806456651007,119.92947362841443,True,True,False,False
G,Optimized-Ours,5000,0.5,300,7.043587816543578,14.728558217697145,19.465304161071778,141.97310036388797,67.89530823176207,True,True,False,False
G,Optimized-Ours,5000,1.0,300,17.13362973409017,34.60695521728516,35.900703564453124,58.36474906483684,28.89592550749825,False,False,False,False
